id,type,validfrom,validto
1,Horse,,
2,Hot air baloon,,
3,Pedal cycle,,
4,Motorcycle,,
5,Mobility vehicle,,
6,Car,,
7,Campervan / Motor home,,
8,Minibus,,
9,Coach,,
10,Lorry,,
11,Tractor unit,,
12,Industrial vehicle,,
13,Small water craft,,
14,Yacht,,
15,Boat,,
16,Ship,,
17,Helicopter,,
18,Plane,,
19,Train (freight),,
20,Train (passenger),,
21,Transporter,,
22,Container,,
23,Drone,,
24,Small van (car size),,
25,Medium van (transit size),,
26,Large van,,
27,7.5T van,,
28,7.5T soft sided van,,
29,HGV canvas sided,,
30,HGV flatbed,,
31,HGV hard-sided,,
32,HGV refrigerated,,
33,HGV tanker,,
34,Road train,,
35,Unaccompanied trailer,,
36,Bulk Carrier (Canvas covered),,
37,Airship,,
38,Glider,,
39,Hand glider,,
40,Mirco light,,
41,Gyroplane,,
42,Business jet,,
43,Single engine light aircraft
44,Twin engine light aircraft
45,Other unspecified aircraft
46,Cruise liner,,
47,General cargo,,
48,Ferry,,
49,Fishing board,,
50,Reefer,,
51,Support vessel (e.g. tug),,
52,Tanker,,
53,Vehicle carrier,,
